author,comment,published_at,likes,type
@aakarshitrekhi8071,He's trying to be funny and that makes him funny,2021-05-06T05:51:03Z,0,Main Comment
@dharaniidharkatikaneni4973,Hello programmers at the end 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,2021-04-30T15:22:32Z,0,Main Comment
@saadahmedkhan8778,Why youtube recommend me this video?   To tell me How incompatible I am.,2021-04-15T17:12:52Z,0,Main Comment
@turkeylover6929,00:21 this is when I liked and subscribed!! A truly wise and simple words,2021-04-11T04:25:36Z,0,Main Comment
@mrelitecoder5587,thanks a lot bro,2021-04-09T04:03:18Z,0,Main Comment
@jdragon8184,1 st is good,2021-04-08T11:17:29Z,0,Main Comment
@teddq7210,Teddy 🧸,2021-04-04T09:46:33Z,0,Main Comment
@gaurishagrawal9404,"I need advice. I know how to solve the problems on leetcode,hackerrank,etc. But it takes me a long time to figure out the solution. Many times when I look at the editorial, I literally feel stupid because I know how to implement what they did...but I could not think about it on the spot. Like for exmaple I did a problem in which I was suposed to reverse a intiger. No string methods allowed. I solved that and then I did a problem about telling if a number is a paridlome. Also no string methods allowed. I did a very complex and long solution which worked for 80% cases. Then I looked at someone elses code and realised I could have used the ""reverse a integer"" problem in this as well. All I had to do was reverse the int (using math) and then compare the original and new value. But how to think of all this on the spot? I cant even think of it at my desk...then how in the world can I think of it in a stressful situation like interview or completition.",2021-04-03T21:27:45Z,1,Main Comment
@priyanshusaxena7157,I'm just fed up watching algoexpert ad😑,2021-04-03T08:21:21Z,0,Main Comment
@shubhammantri3550,Coincidently I am watching this video on 1st April 2021,2021-04-01T12:26:08Z,1,Main Comment
@SahilSharma-vl9rk,It's 1st April today 😭,2021-04-01T11:44:47Z,0,Main Comment
@debasmitdey1132,I am watching this on 1st april 2021,2021-04-01T11:19:05Z,1,Main Comment
@lokeshgujjar177,lol i am watching this in 1 apr  but 2021,2021-04-01T00:36:57Z,0,Main Comment
@arfathahmed3433,Hmmm... It's 1st of April. YouTube's way of telling me that I have gone nowhere with this.,2021-03-31T21:37:47Z,0,Main Comment
@sanskarjain7986,"These tips are more clear once you are into cp and dsa, all the problems like stuck on a problem etc are encountered.",2021-03-22T16:25:29Z,1,Main Comment
@4Facts,"you are an awesome man and I watched most of your videos, especially the Facebook code Competition  and Thank you for your tips",2021-03-18T16:33:03Z,0,Main Comment
@robinhood5407,When this guy codes compiler gets warnings !!,2021-03-14T10:09:04Z,0,Main Comment
@aayush5474,He is serious even when he is joking what a legend!,2021-03-07T06:18:35Z,9,Main Comment
@pranjal7438,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,2021-06-24T14:43:57Z,0,Reply
@j.franciscox3318,Who is Tanya Romanova?,2021-02-27T15:37:53Z,0,Main Comment
@HimanshuKumar-yh7ox,Ye to tothla hai😲,2021-01-28T16:24:28Z,0,Main Comment
@RohitSharma-cl8hy,You fcuk the video is over ....omg i love his accent,2021-01-26T05:00:30Z,0,Main Comment
@deepbarankar2852,"Errichto sensei taught this to us last year and now in 2021, I will be applying this. Arigato Sensei :)",2021-01-21T17:48:37Z,1,Main Comment
@isobarbaric,This homo sapien needs more subscribers. :),2021-01-20T01:10:18Z,0,Main Comment
@vimleshkumarkanaujiya,Love ❤️,2021-01-18T21:24:24Z,0,Main Comment
@giggityyy...,Kind of scary when screen went BLACK 😂,2021-01-16T17:07:33Z,0,Main Comment
@jeffhardyextremematt,1. Be Russian,2021-01-14T13:47:24Z,0,Main Comment
@ankit7942,2:23 be a lover boi!,2021-01-12T15:28:36Z,1,Main Comment
@anuragbose2622,Practice more problem and learn to do maths .,2021-01-12T03:46:51Z,0,Main Comment
@mihailmihalev8154,Can you do tutorial for Dived and coquer?,2021-01-11T11:46:50Z,1,Main Comment
@nihalshukla7718,how long does it take to become red on codeforces,2021-01-05T20:42:28Z,0,Main Comment
@VEDANTAKRISHNABHUTANI-ds7zu,Wait for January 1st and change your profile to red. The easiest full proof way that works.,2021-01-04T05:34:49Z,0,Main Comment
@fuadaskerov650,"i want become a programmer , and i want to ask , what firstly i  need to do",2020-12-30T18:06:27Z,0,Main Comment
@fuadaskerov650,Errichto say me please where you work?,2020-12-30T18:04:00Z,0,Main Comment
@thisisgksingh,truth has been spoken,2020-12-19T03:32:35Z,0,Main Comment
@blazi_0,5 tyips,2020-12-18T20:35:09Z,0,Main Comment
@muhammadridho7680,Step 1: mathhhhhhhhh,2020-12-17T16:05:23Z,1,Main Comment
@shashwatsharma4420,Your voice is like a 100 year old wise wizard.,2020-12-12T06:44:00Z,198,Main Comment
@nightninja8150,r8,2021-09-01T19:08:11Z,1,Reply
@camilotello3296,omg that's true hahaha,2021-10-10T00:15:20Z,1,Reply
@sivan_j,frfr,2024-12-08T07:06:17Z,1,Reply
@carlinlapo,Brilliant as always bro,2020-12-08T22:00:40Z,0,Main Comment
@placements_exe1237,i just drop by here to watch the first 30 seconds  almost every day !!!,2020-12-08T05:05:59Z,0,Main Comment
@vidhanchandra3997,Robert lewandowski....poland,2020-12-05T15:40:37Z,0,Main Comment
@steppenwolf4247,What's your learning path throw cpp and mastering it ?,2020-12-03T12:44:00Z,0,Main Comment
@4ll144,"DOES HE JUST CALLED ME ""PROGRAMMER""? 

I gotta call my mom",2020-12-01T18:05:58Z,0,Main Comment
@lougvar,"I watched whole video from 0 to 0:32 and thats really useful! Now I think I know how to become a really great coder. Thank you very much, now I need to go practice what I learned from the video!",2020-11-24T12:20:12Z,4,Main Comment
@ann5563,It was good humor NGL 😂😂😂,2022-03-10T06:07:27Z,0,Reply
@krolprestizu2489,"wait a minute
your tshirt is from poland???
ARE YOU FROM POLAND???",2020-11-23T22:12:26Z,0,Main Comment
@Mateo-fq8bs,"""proszę państwa""?",2020-11-23T18:49:08Z,0,Main Comment
@learningcurve7498,Si it possible to make a living out of this ?,2020-11-22T02:58:56Z,0,Main Comment
@vimleshkumarkanaujiya,Love you Bro🖤🖤🖤,2020-11-21T19:14:27Z,0,Main Comment
@gaming_with_ajey,"Just for fun, I watch this video every Now and then,
especially for, ""HELLO PROGRAMMERS"".
@Errichto. You should also try Comedy. May be try a joke or two on william. :)",2020-11-20T11:08:06Z,0,Main Comment
@thestranger4107,Thanks bhai (Brother).,2020-11-15T15:59:43Z,1,Main Comment
@egor.okhterov,"- How do you become red coder?
- You don't.",2020-11-12T22:39:47Z,3,Main Comment
@MaiFast,"I have a little bit YouTube experience and I can understand this 3:41, lol",2020-11-12T12:50:25Z,0,Main Comment
@gauravkumarjain,"for learning Whitehat jr coding you may check the channel named ""Gaurav Kumar Jain"". it has got amazing videos. learn to code .",2020-11-10T05:27:28Z,0,Main Comment
@arczi11108,to było niezłe:) piona,2020-11-02T22:01:47Z,0,Main Comment
@_krishsharma_2103,i love ur english accent,2020-11-01T17:51:28Z,1,Main Comment
@rajaspaunikar9695,Why don't you join google?,2020-11-01T09:52:14Z,0,Main Comment
@edwinmunguia2049,I admire you dude. You rule!,2020-10-31T14:21:58Z,0,Main Comment
@tabassumtreena8689,Thanks.This video gave me inspiration to register in codeforces.I must follow these tips from now on.,2020-10-21T20:37:17Z,1,Main Comment
@PunchLineGAi,haha to bylo dobre ! usmialem sie,2020-10-21T18:58:09Z,0,Main Comment
@ripudamankatoch4647,Why did man u spend 80 million dollars to get him???,2020-10-14T05:28:18Z,0,Main Comment
@Ayuburi,Lol,2020-10-12T23:50:45Z,0,Main Comment
@nehasingh7975,any book for suggestion as i saw in the main page?,2020-10-11T08:29:03Z,0,Main Comment
@jotes2188,Proszę państwa :),2020-10-10T23:24:10Z,0,Main Comment
@ThunderAppeal,"My question about codeforces is why does a site which claims to so awesome with code is run by a bunch of noobs?
I clicked on codeforces > 'bad gateway'  redirect can be a friend if you let it.",2020-10-06T20:27:22Z,0,Main Comment
@brunocena3885,u look like tim cook,2020-10-03T19:14:50Z,0,Main Comment
@deepabhi1233,"can you please recommend any website or platform where we can solve problems out of our comfort zone and which also provides editorial in case, if we got stuck!!",2020-10-03T15:47:34Z,0,Main Comment
